好的，以下是PTED进食态度类型指标的完整整合文档。

---

## PTED 进食态度类型指标 · 完整整合文档

**全称：** Physiological-Triggered / Embodied-Detached / Inside-Outside / Flow-Rule based
**Eating Attitude Type Indicator**

---

### 一、框架总览

PTED测量一个人与食物关系的四个核心维度，恰好对应一次进食的完整时间线：

| 维度 | 字母 | 名称 | 核心问题 |
|:---|:---|:---|:---|
| 动机 | **P / T** | 生理驱动 / 触发式进食 | 你为什么开始吃？ |
| 感知 | **E / D** | 具身化 / 抽象化 | 你如何认识食物？ |
| 停止 | **I / O** | 内部信号 / 外部信号 | 你为什么停下来？ |
| 后反应 | **F / R** | 直觉式 / 分析式 | 吃完后你怎么想？ |

**八个字母：P、T、E、D、I、O、F、R——零重复。**

---

### 二、完整问卷（67题）

**评分标准：**
1 — 完全不符合
2 — 不太符合
3 — 有时符合
4 — 比较符合
5 — 完全符合

---

#### 第一部分：进食动机（13题）

**P维度 — 生理驱动（6题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
| F6 | 对我来说，管理饮食这件事不太需要费脑子，身体本身就会告诉我它需要什么。 | ○ | ○ | ○ | ○ | ○ |
| F7* | （反向）吃完一顿饭后，我常常会在心里复盘：今天吃得好不好、有没有需要调整的地方。 | ○ | ○ | ○ | ○ | ○ |

**R维度 — 分析式（8题）**

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| R1 | 吃完一顿饭，我会在心里过一遍：今天吃了什么、大概吃了多少。 | ○ | ○ | ○ | ○ | ○ |
| R2 | 我有一套自己的标准来判断今天吃得好不好——比如营养是否均衡、量是否合适。 | ○ | ○ | ○ | ○ | ○ |
| R3 | 如果今天吃得不太理想，我会想一下原因，然后在接下来几天做一些调整。 | ○ | ○ | ○ | ○ | ○ |
| R4 | 我会在心里把食物分类——比如哪些是日常可以多吃的、哪些是需要留意的。 | ○ | ○ | ○ | ○ | ○ |
| R5 | 给自己设定饮食目标，并且会追踪自己做得怎么样，这让我觉得踏实。 | ○ | ○ | ○ | ○ | ○ |
| R6 | 如果没做到自己设定的饮食标准，我会花不少时间想这件事，琢磨下次怎么才能做到。 | ○ | ○ | ○ | ○ | ○ |
| R7 | 越是告诉自己某种食物"不能吃"或"要少吃"，我反而越会惦记它。 | ○ | ○ | ○ | ○ | ○ |
| R8* | （反向）我很少分析自己的饮食习惯，吃就吃了，不太去想。 | ○ | ○ | ○ | ○ | ○ |

---

#### 第五部分：效度检测（4题）

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| V1 | 我从未因为情绪不好而比平时多吃一口。 | ○ | ○ | ○ | ○ | ○ |
| V2 | 我吃任何东西都能做到细嚼慢咽、完全专注，从未分心过。 | ○ | ○ | ○ | ○ | ○ |
| V3 | 我对自己的身材和体重没有任何在意，从不关注。 | ○ | ○ | ○ | ○ | ○ |
| V4 | 吃完大餐后，我从未有过一丁点后悔或不舒服的感觉。 | ○ | ○ | ○ | ○ | ○ |

---

#### 第六部分：情境触发场景（8题，辅助解读）

| 编号 | 题目 | 1 | 2 | 3 | 4 | 5 |
|:---|:---|---:|:---:|:---:|:---:|:---:|
| T1 | 深夜独处时，那种安静和孤单会让食物变得特别有吸引力。 | ○ | ○ | ○ | ○ | ○ |
| T2 | 工作或学业压力很大的时候，我的食量会明显增加。 | ○ | ○ | ○ | ○ | ○ |
| T3 | 与亲近的人发生冲突后，吃东西是我让自己平静下来的方式之一。 | ○ | ○ | ○ | ○ | ○ |
| T4 | 社交聚餐中，我会跟着别人的节奏不知不觉吃下远超自己需要的量。 | ○ | ○ | ○ | ○ | ○ |
| T5 | 周末或假期有大段空白时间时，吃东西成了填充时间的主要方式。 | ○ | ○ | ○ | ○ | ○ |
| T6 | 生理期前后或身体不舒服时，我对食物的渴望会急剧上升。 | ○ | ○ | ○ | ○ | ○ |
| T7 | 当我感到被冷落、不被理解时，食物是我最安全、最可靠的陪伴。 | ○ | ○ | ○ | ○ | ○ |
| T8 | 刷到美食视频或路过面包店的香气时，我经常会产生"现在立刻就要吃到"的冲动。 | ○ | ○ | ○ | ○ | ○ |

---

### 三、计分规则

**一、反向题计分转换**

反向计分公式：**转换后得分 = 6 - 原始得分**

| 维度 | 反向题编号 |
|:---|:---|
| P维度 | P6* |
| T维度 | T7* |
| E维度 | E7* |
| D维度 | D7* |
| I维度 | I6* |
| O维度 | O6* |
| F维度 | F7* |
| R维度 | R8* |

**二、维度原始分计算**

| 维度 | 计分方式 | 分数范围 |
|:---|:---|:---|
| P总分 | P1+P2+P3+P4+P5+P6(已转换) | 6-30 |
| T总分 | T1+T2+T3+T4+T5+T6+T7(已转换) | 7-35 |
| E总分 | E1+E2+E3+E4+E5+E6+E7(已转换) | 7-35 |
| D总分 | D1+D2+D3+D4+D5+D6+D7(已转换) | 7-35 |
| I总分 | I1+I2+I3+I4+I5+I6(已转换) | 6-30 |
| O总分 | O1+O2+O3+O4+O5+O6(已转换) | 6-30 |
| F总分 | F1+F2+F3+F4+F5+F6+F7(已转换) | 7-35 |
| R总分 | R1+R2+R3+R4+R5+R6+R7+R8(已转换) | 8-40 |

L1（失控感）独立计分，不参与类型判定。

**三、类型判定规则**

| 判定 | 规则 |
|:---|:---|
| 明确型 | 某维度分超过对立维度 ≥ 3分 |
| 倾向型 | 某维度分超过对立维度 1-2分 |
| 混合型 | 两维度分差 = 0 |

| 维度对 | 判定 |
|:---|:---|
| 动机 | 若 P > T → P型；若 T > P → T型 |
| 感知 | 若 E > D → E型；若 D > E → D型 |
| 停止 | 若 I > O → I型；若 O > I → O型 |
| 后反应 | 若 F > R → F型；若 R > F → R型 |

**四、效度检测**

若 V1、V2、V3、V4 中有任意一题得分 ≥ 4，提示可能存在理想化作答倾向，结果页应弹出提醒：

> "你的回答可能存在理想化倾向。进食问题人人都有，诚实面对自己是改变的第一步。"

**五、临床风险检测**

| 条件 | 触发 | 含义 |
|:---|:---|:---|
| L1 ≥ 4 | 🔴 失控警报 | 进食失控感，提示暴食倾向 |
| R7 ≥ 4 且 T总分 ≥ 25 | 🔴 限制-触发循环 | 越控制越想吃，暴食风险 |
| R6 ≥ 4 且 O总分 ≥ 22 | 🔴 监控+外部信号 | 分析式监控 + 外部信号停止 |
| R6 ≥ 4 且 T总分 ≥ 25 | 🔴 监控+触发 | 分析式监控 + 触发式进食 |
| 有补偿行为 ≥ 4 | 🔴 补偿行为警报 | 需重点提示专业求助 |

---

### 四、16种类型汇总

| 代码 | 命名 | 核心特质 | 风险 |
|:---|:---|:---|:---|
| PEIF | 水手 | 本能信任，简单纯粹 | 🟢 极低 |
| PEIR | 钟表匠 | 身体直觉 + 事后校准 | 🟡 中 |
| PEOF | 农夫 | 务实知足，光盘不纠结 | 🟡 中 |
| PEOR | 建筑师 | 蓝图驱动，验收复盘 | 🟠 高 |
| PDIF | 飞行员 | 数据导航 + 身体信任 | 🟡 中 |
| PDIR | 调度员 | 精确调度 + 事后复盘 | 🟠 高 |
| PDOF | 长途司机 | 按需加油，务实赶路 | 🟡 中 |
| PDOR | 工程师 | 精密系统，掌控全局 | 🔴 极高 |
| TEIF | 美食家 | 触发敏感 + 专注享受 | 🟡 中 |
| TEIR | 诗人 | 感性触发 + 情感回味 | 🟠 高 |
| TEOF | 聚会主人 | 社交触发 + 轻松翻篇 | 🟡 中 |
| TEOR | 演员 | 场景融入 + 独处复盘 | 🔴 极高 |
| TDIF | 营养师 | 感性触发 + 理性执行 | 🟡 中 |
| TDIR | 侦探 | 线索分析 + 反复推敲 | 🟠 高 |
| TDOF | 旅行者 | 随遇而安，豁达不内耗 | 🟠 高 |
| TDOR | 哨兵 | 时刻警惕，严格防守 | 🔴 极高 |

---

### 五、16种类型完整解读

**第一组：P型（生理驱动）**
*"食物首先是燃料，身体是值得信任的指南针。"*

**PEIF — 水手**
你与食物的关系，像水手与大海——靠本能判断风向，信任身体的导航。饿了就吃，饱了就停，这种对身体的信任是你的底层代码。你不太会被情绪或环境推着去吃东西，也不会在吃完后反复琢磨。食物在你生活中有一个清晰而简单的位置：它是航行所需的燃料，仅此而已。你的挑战可能是：有时候过于信任身体信号，而忽略了情绪可能正在悄悄影响你的进食。偶尔停下来问问自己："我是真的饿了，还是心里有点什么需要被看见？"

**PEIR — 钟表匠**
你像钟表匠对待精密的机芯一样对待自己的身体。你信任身体的信号来启动和停止进食，但和其他P型不同的是，你吃完后会复盘——今天吃得好不好、量是否合适。这种复盘不是焦虑，而是一种追求精准的内在倾向。你希望身体的需求和实际的进食之间，像齿轮一样严丝合缝。你的优势是既有本能的信任，又有理性的校准。你的挑战是：复盘有时候会悄悄变成苛责。记住，身体不是机器，偶尔的偏差也是运转的一部分。

**PEOF — 农夫**
你和食物的关系，像农夫与土地——踏实、务实、知足。你只在身体需要的时候才走向食物，有什么吃什么，不挑拣。你停下来的理由往往很实际：盘子空了、东西吃完了。你不太会为此纠结，吃完了就继续去做该做的事。你的进食风格朴素而高效。你享受食物，但不沉迷；你不浪费，但也不勉强自己。这是一种难得的平衡。你的挑战可能是：有时候"光盘"成了自动化的习惯，身体可能已经够了，但盘子还没空。偶尔问自己一句："我是胃饱了，还是盘子空了？"

**PEOR — 建筑师**
你对待进食像建筑师对待一栋建筑——有蓝图、有规划、有验收标准。你饿了才吃，但停下来的理由往往来自外部：盘子空了、吃完了。吃完后，你会在心里复盘这次进食是否"达标"。你有一套自己的标准，虽然不一定写下来，但它一直在那里。你的优势是既有身体的诚实，又有做事的条理。你的挑战是：当蓝图太严格的时候，进食的愉悦可能会被悄悄牺牲。偶尔问问自己："这个标准是在服务我，还是在束缚我？"

**PDIF — 飞行员**
你像飞行员一样，依赖仪表盘（营养数据）来做飞行决策，但同时信任身体的平衡感。你选食物的时候会考虑成分和营养，但你不会被数据绑架——饱了就是饱了，你会信任这个信号停下来。吃完后，你也不太会反复想。这是一种难得的平衡：既有理性的数据意识，又有身体的直觉信任。你在"管理健康"和"享受食物"之间找到了自己的航线。

**PDIR — 调度员**
你像调度员一样，精确管理每一笔能量资源的进出。你用数据来做进食决策，信任身体的信号来停止，但吃完后你会复盘——这份调度日志是否最优？有没有可以改进的地方？你的优势是极高的自我管理能力。你的挑战是：复盘有时候会变成反复琢磨，而反复琢磨可能会悄悄偷走进食本该有的轻松。记住，不是每一顿饭都需要被优化。

**PDOF — 长途司机**
你像长途司机一样，按需加油，加完了继续赶路。你饿了才吃，根据营养成分来选择食物，吃完了就停——停的理由往往是实际的（盘子空了、吃完了），而不是身体的微妙信号。但你不太为此纠结，吃完了就翻篇，继续向前。你的进食风格务实、高效、不内耗。食物是旅途中的补给站，不是目的地本身。你的挑战可能是：有时候身体的饱腹信号和盘子的空满之间有落差，你可能会选择相信盘子。偶尔练习一下在盘子空之前问自己："我还需要吗？"

**PDOR — 工程师**
你对待进食像工程师对待一套精密系统。数据驱动、规则执行、外部信号停止、严格复盘——这一切在你的进食世界里高效运转。你有清晰的标准，知道自己该吃什么、该吃多少、什么时候该停，吃完后会评估系统运行是否达标。你的优势是极强的掌控感和执行力。你的挑战是：当系统太精密的时候，身体的直觉和进食的愉悦可能会被边缘化。偶尔问问自己："这套系统是在服务我的健康，还是在消耗我的注意力？"

---

**第二组：T型（触发式进食）**
*"食物是被推到我面前的，我选择如何回应。"*

**TEIF — 美食家**
你容易被美好的味道、诱人的场景、温暖的氛围触发而走向食物。但一旦开始吃，你是全然在场的——你专注品尝、享受每一口的细节。你信任身体的信号来停止，吃完后也不纠结。你的进食风格充满了感官的愉悦和对生活的热爱。食物对你来说不只是燃料，它是一种值得被认真对待的体验。你的优势是既有触发的敏感，又有享受的专注。你的挑战是：有时候触发太频繁了，身体可能并不需要那么多。偶尔问自己："我是被吸引，还是真的饿了？"

**TEIR — 诗人**
你被情绪和场景打动而走向食物，吃的时候专注品味每一个细节——食物的味道、当下的心情、场景的意味。但和其他T型不同的是，你吃完后会反复咀嚼这些感受。这种复盘不是冷冰冰的数据分析，而是情绪的回味——你会想"那顿饭真好"，或者"我是不是吃多了"。你在感性的享受和理性的反思之间来回踱步。你的优势是能够从食物中体验丰富的情感层次。你的挑战是：回味有时候会变成反复琢磨，而琢磨可能会悄悄消解本该留存的愉悦。

**TEOF — 聚会主人**
你常常被社交场景触发而进食——大家在一起，开心就好，跟着节奏吃。你停下来的理由往往是外部的：盘子空了、聚会结束了。但你的心态很放松，吃完了就翻篇。对你来说，食物的社交意义往往大于它的营养意义。你享受的是在一起的感觉，食物是这个感觉的载体。你的优势是轻松、合群、不内耗。你的挑战是：在人群中，你可能会不知不觉吃下超过身体需要的东西。偶尔在聚会中问自己一句："我是和大家在一起开心，还是真的需要这口食物？"

**TEOR — 演员**
你在社交场合自然地融入"吃"这件事——跟着节奏、完成角色、不突兀。但当场景落幕，你回到独处的时候，复盘开始了。你会回想刚才吃了什么、吃了多少、是不是吃多了。在人群中的轻松和独处时的审视，构成了你进食体验的两面。你的优势是社交中的适应力和合群。你的挑战是：独处时的复盘可能会让你对社交中的进食产生隐隐的焦虑。记住，聚会中的开心和你吃进去的东西是两件事，它们不需要互相审判。

**TDIF — 营养师**
你容易被触发而走向食物——情绪、场景、社交都会推你一把。但一旦面对食物，你的专业模式就开启了：用营养数据做选择，信任身体的信号来停止，吃完后也不纠结。这是一种有趣的组合：感性的触发，理性的执行。你既允许自己被影响，又有能力在关键时刻用数据来导航。你的优势是灵活——不拒绝进食的邀请，但也不放弃自己的标准。你的挑战是：感性和理性之间的切换可能会消耗心理能量。允许自己偶尔哪边都不站，就只是吃。

**TDIR — 侦探**
你被线索触发进食——一个情绪、一个场景、一个画面。吃的时候你用数据来分析每一条线索：这个食物含什么、多少热量、是否值得。吃完后，你会反复推敲自己的判断：我吃对了吗？你的进食过程像一场持续的侦查和分析。你有敏锐的觉察力，但也有不小的心理投入。你的优势是对自己的进食有高度的觉察。你的挑战是：持续的分析可能会让你对食物产生一种隐隐的紧张感。偶尔放下放大镜，允许自己只是吃一顿饭，不分析。

**TDOF — 旅行者**
你像旅行者一样，走到哪吃到哪。被环境、际遇、情绪推着走，有什么吃什么，吃完了继续下一站。你的停止信号来自外部——盘子空了、场景结束了。但你的心态豁达，不太为吃了什么而纠结。吃了就吃了，明天再说。你的优势是随遇而安、不内耗。你的挑战是：随遇而安有时候可能让你忽略身体的真实需求。偶尔在出发前问自己："我是需要食物，还是需要这趟体验？"

**TDOR — 哨兵**
你时刻保持警惕。被任何风吹草动触发进食后，你用严格的规则来管理，用复盘来守住防线。你的进食世界里有一套严密的防御系统：标准清晰、执行到位、事后检查。但站岗太久，人也会累。你的优势是极强的自我管控能力。你的挑战是：当防线太紧的时候，进食的愉悦和身体的直觉可能会被牺牲。偶尔离开哨位，允许自己只是一个人——一个需要食物、也值得享受食物的人。

---

### 六、使用说明

**测试方式：**
- 可打印为纸质问卷，或录入在线表单工具
- 预计完成时间：10-15分钟

**结果计算：**
- 手动计算：按计分规则逐维度计算
- 自动计算：可使用Excel模板（另行制作）

**结果呈现：**
- 四字母类型代码 + 职业命名
- 四维度得分可视化
- 类型解读文案
- 风险评估（如有触发）

---

整合完毕。接下来需要做什么？Excel自动计分模板，还是调整某部分内容？
